Year when drafted,Round drafted,Overall pick,Name,Position,Organization,school,age when drafted ,Birth date,Bats,Throws ,education type,Drafted before,Minor-League level started at,if the player appeared in rookie leagues,Number of games played in Rookie Leagues,Number of plate appearances in Rookie Leagues,If the player appeared in Short-Season-A,Number of games played in Short-Season-A,Number of plate appearances in Short-Season-A,If the player appeared in Low-A ,Number of games played in Low-A ,Number of plate appearances in Low-A,If the player appeared in High-A,Number of games played in High-A,Number of plate appearances in High-A,If the player appeared in Double-A,Number of games played in Double-A,Number of plate appearances in Double-A ,If the player appeared in Triple-A,"Number of games played in Triple-A	",Number of plate appearances in Triple-A ,If the player appeared in the Major Leagues,Number of seasons spent in the minor leagues    ,Total number of games played in the minor leagues,Total number of plate appearances in the minor leagues  ,Total games played in Short-Season and lower levels,Total plate appearances in Short-Season and lower levels,Total games played in Low-A and lower levels,Total plate appearances in Low-A and lower levels,Total games played in High-A and lower levels,Total plate appearances in High-A and lower levels,"Total games played in Double-A and lower levels	",Total plate appearances in Double-A and lower levels,"Total games played in Triple-A and lower levels	",Total plate appearances in Triple-A and lower levels,Average plate appearances per game
1999,9,268,Matt Kata,Second Base,Diamondba,Vanderbilt University,21,03/14/78,Switch,Right,College,Yes,Low-A, , , , , , ,Yes,211,919,Yes,119,535,Yes,140,633,Yes,48,210,Yes,5,518,2297,0,0,211,919,330,1454,470,2087,518,2297,4.43
2005,6,180,Michael Thomas,Outfield,Tigers,"Auburn U, AL",22,11/14/83,Left,Right,College,No,Short-Season, , , ,Yes,18,84,Yes,51,221,Yes,132,595,Yes,137,599, , , ,Active,3,338,1499,18,84,69,305,201,900,338,1499,338,1499,4.43
2002,1,14,Russ Adams,Shortstop,Blue Jays,University of North Carolina,22,08/30/80,Left,Right,College,No,Short-Season, , , ,Yes,30,137, , , ,Yes,105,461,Yes,65,301,Yes,122,528,Yes,3,322,1427,30,137,30,137,135,598,200,899,322,1427,4.43
2006,5,142,Scott Sizemore,Second Base,Tigers,"Virginia Commonwealth U, VA",21,01/04/85,Right,Right,College,No,Short-Season, , , ,Yes,70,333,Yes,125,530, , , , , , , , , ,Active,2,195,863,70,333,195,863,195,863,195,863,195,863,4.43
2006,3,80,Shelby Ford,Second Base,Pirates,"Oklahoma St U, OK",22,12/15/84,Switch,Right,College,No,Short-Season, , , ,Yes,7,29,Yes,55,249,Yes,94,413, , , , , , ,Active,2,156,691,7,29,62,278,156,691,156,691,156,691,4.43
1996,1,2,Travis Lee,First Base,Twins,San Diego State University,21,05/26/75,Left,Left,College,No,High-A, , , , , , , , , ,Yes,61,273, , , ,Yes,59,258,Yes,1,120,531,0,0,0,0,61,273,61,273,120,531,4.43
2006,4,133,Jonathan Still,Catcher,Red Sox,"North Carolina St U, NC",22,11/16/84,Right,Right,College,No,Short-Season, , , ,Yes,62,266,Yes,102,454,Yes,22,103, , , , , , ,Active,2,186,823,62,266,164,720,186,823,186,823,186,823,4.42
1995,3,65,Randy Winn,Outfield,Marlins,Santa Clara University,21,06/09/74,Switch,Right,College,No,Short-Season, , , ,Yes,51,228,Yes,130,561,Yes,36,159,Yes,96,426,Yes,29,138,Yes,4,342,1512,51,228,181,789,217,948,313,1374,342,1512,4.42
2000,33,988,Tommy Callen,Second Base,Blue Jays,Santa Clara University,22,01/11/78,Right,Right,College,No,Rookie,Yes,50,221, , , , , , , , , , , , , , , ,No,1,50,221,50,221,50,221,50,221,50,221,50,221,4.42
2006,1,37,Adrian Cardenas,Shortstop,Phillies,"Monsignor Edward Pace HS, FL",19,10/10/87,Left,Right,High School,No,Rookie,Yes,41,177, , , ,Yes,127,564, , , , , , , , , ,Active,2,168,741,41,177,168,741,168,741,168,741,168,741,4.41
2004,1,28,Blake Dewitt,Second Base,Dodgers,Sikeston HS (MO),19,08/20/85,Left,Right,High School,No,Rookie,Yes,70,327, , , ,Yes,120,522,Yes,197,871,Yes,71,299, , , ,Active,4,458,2019,70,327,190,849,387,1720,458,2019,458,2019,4.41
1999,2,52,Carl Crawford,Outfield,Devil Ray,"Jefferson Davis HS (Houston,TX)",18,08/05/81,Left,Left,High School,No,Rookie,Yes,60,273, , , ,Yes,135,596, , , ,Yes,132,573,Yes,85,373,Yes,4,412,1815,60,273,195,869,195,869,327,1442,412,1815,4.41
2004,8,246,Eric Patterson,Shortstop,Cubs,Georgia Tech (GA),21,04/08/83,Left,Right,College,Yes,Low-A, , , , , , ,Yes,110,500, , , ,Yes,130,538,Yes,145,658,Active,3,385,1696,0,0,110,500,110,500,240,1038,385,1696,4.41
2006,5,138,Helder Velazquez,Shortstop,Rockies,Puerto Rico BB Academy HS,18,10/14/88,Right,Right,High School,No,Rookie,Yes,40,163,Yes,73,335, , , , , , , , , , , , ,Active,2,113,498,113,498,113,498,113,498,113,498,113,498,4.41
1994,1,21,Hiram Bocachica,Shortstop,Expos,"Rexville HS (Bayamon,PR)",18,03/04/76,Right,Right,High School,No,Rookie,Yes,52,226, , , ,Yes,96,447,Yes,71,313,Yes,322,1394,Yes,162,718,Yes,7,703,3098,52,226,148,673,219,986,541,2380,703,3098,4.41
2003,2,57,Jerry Owens,Outfield,Expos,The Masters Col (CA),22,02/16/81,Left,Left,College,No,Short-Season, , , ,Yes,2,8,Yes,108,464, , , ,Yes,130,587,Yes,112,493,Yes,4,352,1552,2,8,110,472,110,472,240,1059,352,1552,4.41
1997,28,860,Joe DeMarco,Shortstop,Padres,University of Kansas,22,10/01/75,Switch,Right,College,No,Rookie,Yes,39,172, , , , , , , , , , , , , , , ,No,1,39,172,39,172,39,172,39,172,39,172,39,172,4.41
2006,9,275,John Raynor,Outfield,Marlins,"UNC Wilmington, NC",22,01/04/84,Right,Right,College,Yes,Short-Season, , , ,Yes,54,223,Yes,116,526, , , , , , , , , ,Active,2,170,749,54,223,170,749,170,749,170,749,170,749,4.41
1997,21,627,Mike Colangelo,Outfield,Angels,George Mason University,21,10/22/76,Right,Right,College,No,Low-A, , , , , , ,Yes,22,95,Yes,36,158,Yes,28,123,Yes,26,118,Yes,2,112,494,0,0,22,95,58,253,86,376,112,494,4.41
1995,49,1338,Ruben Cardona,Second Base,Cardinals,Belhaven College,24,11/15/71,Left,Right,College,No,Short-Season, , , ,Yes,49,216, , , , , , , , , , , , ,No,1,49,216,49,216,49,216,49,216,49,216,49,216,4.41
2006,5,166,Shane Robinson,Outfield,Cardinals,"Florida St U, FL",22,10/30/84,Right,Right,College,No,Low-A,Yes,4,14, , , ,Yes,63,281,Yes,43,190, , , , , , ,Active,2,110,485,4,14,67,295,110,485,110,485,110,485,4.41
2006,3,93,Cedric Hunter,Outfield,Padres,"Martin Luther King HS, GA",18,03/10/88,Left,Left,High School,No,Rookie,Yes,52,262,Yes,5,16,Yes,129,549, , , , , , ,Yes,3,5,Active,2,189,832,57,278,186,827,186,827,186,827,189,832,4.4
2005,2,66,Chase Headley,Third Base,Padres,"U Tennessee, TN",21,05/09/84,Switch,Right,College,No,Short-Season, , , ,Yes,57,259,Yes,4,16,Yes,129,571,Yes,121,522, , , ,Active,3,311,1368,57,259,61,275,190,846,311,1368,311,1368,4.4
1999,4,134,Joe Thurston,Second Base,Dodgers,Sacramento City College,20,09/29/79,Left,Right,College,Yes,Short-Season, , , ,Yes,71,304, , , ,Yes,140,610,Yes,134,592,Yes,136,612,Yes,4,481,2118,71,304,71,304,211,914,345,1506,481,2118,4.4
2005,10,308,Josh Alley,Outfield,Padres,"U Tennessee, TN",22,09/06/83,Left,Left,College,No,Short-Season,Yes,7,35,Yes,14,68,Yes,112,498,Yes,53,228, , , ,Yes,5,12,Active,3,191,841,21,103,133,601,186,829,186,829,191,841,4.4
2004,5,157,Kevin Melillo,Second Base,Athletics,U South Carolina (SC),22,05/14/82,Left,Right,College,No,Short-Season, , , ,Yes,22,105,Yes,78,342,Yes,22,104,Yes,171,728,Yes,98,443,Yes,4,391,1722,22,105,100,447,122,551,293,1279,391,1722,4.4
1999,12,379,Lew Ford,Outfield,Red Sox,Dallas Baptist University,23,08/12/76,Right,Right,College,No,Short-Season, , , ,Yes,62,269,Yes,126,566,Yes,67,286,Yes,155,694,Yes,100,427,Yes,5,510,2242,62,269,188,835,255,1121,410,1815,510,2242,4.4
2006,9,257,Marc Maddox,Second Base,Royals,"U Southern Mississippi, MS",23,09/16/83,Right,Right,College,No,Rookie,Yes,62,272, , , ,Yes,21,85,Yes,101,452, , , , , , ,Active,2,184,809,62,272,83,357,184,809,184,809,184,809,4.4
1997,1,32,Nathan Haynes,Outfield,Athletics,"Pinole Valley HS (Hercules,CA)",18,09/07/79,Left,Left,High School,No,Rookie,Yes,24,80,Yes,24,108, , , ,Yes,197,899,Yes,345,1502,Yes,156,691,Yes,11,746,3280,48,188,48,188,245,1087,590,2589,746,3280,4.4
2006,5,157,Quintin Berry,Outfield,Phillies,San Diego State University,22,11/21/84,Left,Left,College,Yes,Short-Season, , , ,Yes,62,247,Yes,126,581, , , , , , , , , ,Active,2,188,828,62,247,188,828,188,828,188,828,188,828,4.4
2004,1,26,Richard Robnett,Outfield,Athletics,Fresno St U (CA),21,09/17/83,Left,Left,College,Yes,Short-Season, , , ,Yes,43,192, , , ,Yes,184,826,Yes,126,551,Yes,15,50,Active,4,368,1619,43,192,43,192,227,1018,353,1569,368,1619,4.4
2004,15,454,Stephen Sutton,Shortstop,Astros,Baylor U (TX),21,06/30/83,Switch,Right,College,Yes,Short-Season, , , ,Yes,63,289,Yes,62,275,Yes,168,729,Yes,128,558, , , ,Active,4,421,1851,63,289,125,564,293,1293,421,1851,421,1851,4.4
2004,17,506,William Carter,First Base,Diamondba,Stanford U (CA),22,09/16/82,Left,Left,College,No,Short-Season, , , ,Yes,70,303,Yes,6,26,Yes,103,470,Yes,36,151,Yes,274,1201,Active,4,489,2151,70,303,76,329,179,799,215,950,489,2151,4.4
2003,2,39,Anthony Gwynn,Outfield,Brewers,San Diego State University,21,10/04/82,Left,Right,College,Yes,Low-A, , , , , , ,Yes,61,268, , , ,Yes,271,1188,Yes,112,494,Yes,4,444,1950,0,0,61,268,61,268,332,1456,444,1950,4.39
2006,16,468,Anthony Jackson,Outfield,Rockies,"U Pacific, CA",22,06/17/84,Switch,Right,College,No,Short-Season, , , ,Yes,62,275,Yes,121,529, , , , , , , , , ,Active,2,183,804,62,275,183,804,183,804,183,804,183,804,4.39
2005,15,463,Brad Coon,Outfield,Angels,"Trevecca Nazarene U, TN",23,12/11/82,Left,Left,College,No,Rookie,Yes,61,254, , , ,Yes,124,555,Yes,74,326,Yes,58,258, , , ,Active,3,317,1393,61,254,185,809,259,1135,317,1393,317,1393,4.39
1995,2,55,Brian Simmons,Outfield,White Sox,University of Michigan,22,09/04/73,Switch,Right,College,Yes,Rookie,Yes,10,36, , , ,Yes,133,586,Yes,33,140,Yes,138,634,Yes,94,396,Yes,4,408,1792,10,36,143,622,176,762,314,1396,408,1792,4.39
2002,2,66,Fred Lewis,Outfield,Giants,Southern University,22,12/09/80,Left,Right,College,Yes,Short-Season, , , ,Yes,58,265,Yes,114,488,Yes,115,523,Yes,137,594,Yes,126,545,Yes,5,550,2415,58,265,172,753,287,1276,424,1870,550,2415,4.39
2004,8,233,Freddy Sandoval,Third Base,Angels,U San Diego (CA),22,08/16/82,Switch,Right,College,No,Low-A, , , , , , ,Yes,117,497,Yes,113,509,Yes,127,563, , , ,Active,3,357,1569,0,0,117,497,230,1006,357,1569,357,1569,4.39
2003,5,145,Javon Moran,Outfield,Phillies,Auburn U (AL),21,09/30/82,Right,Right,College,No,Short-Season,Yes,2,5,Yes,60,266,Yes,126,549,Yes,66,292,Yes,153,659,Yes,39,186,Active,5,446,1957,62,271,188,820,254,1112,407,1771,446,1957,4.39
1999,30,916,Matthew Mize,Second Base,Mets,University of Texas,22,05/11/77,Switch,Right,College,No,Short-Season, , , ,Yes,69,303, , , , , , , , , , , , ,No,1,69,303,69,303,69,303,69,303,69,303,69,303,4.39
2006,6,194,Mitchell Hilligo,Shortstop,Yankees,"Purdue U, IN",21,06/17/85,Left,Right,College,No,Short-Season, , , ,Yes,67,297,Yes,128,559, , , , , , , , , ,Active,2,195,856,67,297,195,856,195,856,195,856,195,856,4.39
2003,1,33,Omar Quintanilla,Shortstop,Athletics,U Texas (TX),22,10/24/81,Left,Right,College,No,Short-Season, , , ,Yes,32,141, , , ,Yes,116,527,Yes,101,425,Yes,13,57,Yes,3,262,1150,32,141,32,141,148,668,249,1093,262,1150,4.39
2003,1,23,Richard Wood,Shortstop,Angels,Horizon HS (AZ),18,03/02/85,Right,Right,High School,No,Rookie,Yes,61,260, , , ,Yes,125,524,Yes,130,595,Yes,118,522,Yes,115,507,Yes,5,549,2408,61,260,186,784,316,1379,434,1901,549,2408,4.39
1996,5,154,Alex Sanchez,Outfield,Devil Ray,Miami-Dade Wolfson Community Colle,20,08/26/76,Left,Left,College,No,Rookie,Yes,56,237, , , ,Yes,131,574,Yes,128,576,Yes,141,613,Yes,193,844,Yes,6,649,2844,56,237,187,811,315,1387,456,2000,649,2844,4.38
2006,8,230,Alexander Presle,Outfield,Pirates,"U Mississippi, MS",21,07/25/85,Left,Left,College,No,Short-Season, , , ,Yes,61,244,Yes,121,553, , , , , , , , , ,Active,2,182,797,61,244,182,797,182,797,182,797,182,797,4.38
1998,4,117,Andres Torres,Outfield,Tigers,Miami-Dade Community College,20,01/26/78,Switch,Right,College,No,Short-Season, , , ,Yes,48,217,Yes,117,499,Yes,108,461,Yes,78,347,Yes,115,515,Yes,5,466,2039,48,217,165,716,273,1177,351,1524,466,2039,4.38
2006,3,82,Brennan Boesch,Outfield,Tigers,"UC Berkeley, CA",21,04/12/85,Left,Left,College,No,Short-Season, , , ,Yes,70,317,Yes,126,542, , , , , , , , , ,Active,2,196,859,70,317,196,859,196,859,196,859,196,859,4.38
2005,26,787,Brett Dalton,Second Base,Phillies,"UC Irvine, CA",23,11/26/82,Right,Right,College,No,Short-Season,Yes,17,64,Yes,36,168, , , , , , , , , , , , ,No,2,53,232,53,232,53,232,53,232,53,232,53,232,4.38
2002,10,294,Howard Kendrick,Second Base,Angels,St. John's River Community College,19,07/12/83,Right,Right,College,No,Rookie,Yes,108,435, , , ,Yes,75,325,Yes,63,304,Yes,46,204,Yes,69,312,Yes,5,361,1580,108,435,183,760,246,1064,292,1268,361,1580,4.38
2005,3,91,James Boone,Outfield,Pirates,"U Missouri Columbia, MO",22,03/16/83,Switch,Right,College,No,Short-Season, , , ,Yes,68,303,Yes,55,236,Yes,50,219, , , , , , ,Active,2,173,758,68,303,123,539,173,758,173,758,173,758,4.38
1998,5,135,Jason Hart,First Base,Athletics,Southwest Missouri State Universit,21,09/05/77,Right,Right,College,Yes,Short-Season, , , ,Yes,75,331, , , ,Yes,135,606,Yes,135,613,Yes,273,1154,Yes,5,618,2704,75,331,75,331,210,937,345,1550,618,2704,4.38
2004,3,101,John Holt,Second Base,Braves,Louisiana St U (LA),22,12/08/82,Left,Right,College,No,Rookie,Yes,51,227, , , ,Yes,123,496,Yes,116,526,Yes,94,437,Yes,13,53,Active,4,397,1739,51,227,174,723,290,1249,384,1686,397,1739,4.38
2006,2,74,Jonathan Jay,Outfield,Cardinals,"U Miami, FL",21,03/15/85,Left,Left,College,No,Low-A,Yes,1,2, , , ,Yes,60,268,Yes,32,134,Yes,26,117, , , ,Active,2,119,521,1,2,61,270,93,404,119,521,119,521,4.38
2005,2,65,Michael Costanzo,Third Base,Phillies,"Coastal Carolina U, SC",22,09/09/83,Left,Right,College,No,Short-Season, , , ,Yes,73,323, , , ,Yes,135,593,Yes,137,595, , , ,Active,3,345,1511,73,323,73,323,208,916,345,1511,345,1511,4.38
2006,19,568,Miguel Velazquez,Outfield,Rangers,Gabriela Mistral HS,18,03/15/88,Right,Right,High School,No,Rookie,Yes,24,105, , , , , , , , , , , , , , , ,Active,1,24,105,24,105,24,105,24,105,24,105,24,105,4.38
2006,6,177,Robert Side,Outfield,Diamondba,"U Georgia, GA",23,12/04/83,Right,Right,College,No,Short-Season, , , ,Yes,56,253,Yes,129,557, , , , , , , , , ,Active,2,185,810,56,253,185,810,185,810,185,810,185,810,4.38
2001,10,304,Tony Miller,Outfield,Rockies,Toledo University,21,08/18/80,Right,Right,College,No,Rookie,Yes,70,309, , , ,Yes,129,589,Yes,67,306,Yes,284,1231,Yes,22,72,No,6,572,2507,70,309,199,898,266,1204,550,2435,572,2507,4.38
2005,6,185,Aaron Cunningham,Outfield,White Sox,"Everett CC, WA",19,04/24/86,Right,Right,College,No,Rookie,Yes,56,255, , , ,Yes,105,431,Yes,96,441,Yes,31,132, , , ,Active,3,288,1259,56,255,161,686,257,1127,288,1259,288,1259,4.37
1997,8,245,Adam Piatt,Third Base,Athletics,Mississippi State University,21,02/08/76,Right,Right,College,Yes,Short-Season, , , ,Yes,57,251, , , ,Yes,133,580,Yes,129,569,Yes,71,304,Yes,4,390,1704,57,251,57,251,190,831,319,1400,390,1704,4.37
1999,4,136,Angel Pagan,Outfield,Mets,Republica De Colombia HS (Rio Pied,18,07/02/81,Right,Right,High School,No,Rookie,Yes,22,89,Yes,62,260,Yes,123,553,Yes,129,550,Yes,112,490,Yes,133,595,Yes,7,581,2537,84,349,207,902,336,1452,448,1942,581,2537,4.37
2006,8,246,Brian Dinkelman,Second Base,Twins,"McKendree Col, IL",23,11/10/83,Left,Right,College,No,Rookie,Yes,46,203, , , ,Yes,67,278,Yes,64,292, , , , , , ,Active,2,177,773,46,203,113,481,177,773,177,773,177,773,4.37
2003,29,873,Daniel Desouza,Outfield,Giants,Connors St Col (OK),19,11/27/84,Left,Left,College,Yes,Rookie,Yes,70,306, , , , , , , , , , , , , , , ,No,2,70,306,70,306,70,306,70,306,70,306,70,306,4.37
1992,1,6,Derek Jeter,Shortstop,Yankees,"Central HS (Kalamazoo,MI)",18,06/26/74,Right,Right,High School,No,Rookie,Yes,47,192, , , ,Yes,139,617,Yes,69,315,Yes,34,137,Yes,158,693,Yes,4,447,1954,47,192,186,809,255,1124,289,1261,447,1954,4.37
2000,9,277,Eric Bruntlett,Shortstop,Astros,Stanford University,22,03/29/78,Right,Right,College,Yes,Rookie,Yes,50,202, , , , , , , , , ,Yes,239,1073,Yes,107,455,Yes,4,396,1730,50,202,50,202,50,202,289,1275,396,1730,4.37
2003,1,10,Ian Stewart,Third Base,Rockies,La Quinta HS (CA),18,04/05/85,Left,Right,High School,No,Rookie,Yes,57,253, , , ,Yes,131,571,Yes,112,499,Yes,120,528,Yes,112,474,Yes,5,532,2325,57,253,188,824,300,1323,420,1851,532,2325,4.37
2001,13,390,Jason Bartlett,Shortstop,Padres,University of Oklahoma,22,10/30/79,Right,Right,College,No,Short-Season,Yes,5,14,Yes,68,295, , , ,Yes,114,502,Yes,139,606,Yes,67,302,Yes,4,393,1719,73,309,73,309,187,811,326,1417,393,1719,4.37
1996,32,965,Jason Conti,Outfield,Diamondba,University of Pittsburgh,21,01/27/75,Left,Right,College,No,Rookie,Yes,63,256, , , ,Yes,117,503,Yes,14,69,Yes,130,593,Yes,226,981,Yes,5,550,2402,63,256,180,759,194,828,324,1421,550,2402,4.37
1998,1,21,Jason Tyner,Outfield,Mets,Texas A&M University,21,04/23/77,Left,Left,College,No,High-A, , , , , , , , , ,Yes,50,218,Yes,129,580,Yes,87,365,Yes,3,266,1163,0,0,0,0,50,218,179,798,266,1163,4.37
2005,12,371,Jeffrey Baisley,Third Base,Athletics,"U South Florida, FL",23,12/19/82,Right,Right,College,No,Short-Season, , , ,Yes,61,262,Yes,124,545, , , ,Yes,101,442, , , ,Active,3,286,1249,61,262,185,807,185,807,286,1249,286,1249,4.37
2005,32,978,Jeffrey Natale,Second Base,Red Sox,"Trinity Col, CT",23,08/24/82,Right,Right,College,No,Short-Season, , , ,Yes,12,46,Yes,97,433,Yes,82,353,Yes,119,524, , , ,Active,3,310,1356,12,46,109,479,191,832,310,1356,310,1356,4.37
1995,28,780,Johnny Isom,Outfield,Orioles,Texas Wesleyan University,22,08/09/73,Right,Right,College,Yes,Rookie,Yes,59,237, , , , , , ,Yes,124,526,Yes,226,1055,Yes,73,289,No,5,482,2107,59,237,59,237,183,763,409,1818,482,2107,4.37
2006,7,204,Justin Turner,Second Base,Reds,"Cal St Fullerton, CA",22,11/23/84,Right,Right,College,Yes,Rookie,Yes,60,263, , , ,Yes,117,516,Yes,6,21, , , , , , ,Active,2,183,800,60,263,177,779,183,800,183,800,183,800,4.37
1997,2,82,Kenny Kelly,Outfield,Devil Ray,"Tampa Catholic HS (Tampa,FL)",18,01/26/79,Right,Right,High School,No,Rookie,Yes,27,110, , , ,Yes,54,237,Yes,51,224,Yes,124,548, , , ,Yes,4,256,1119,27,110,81,347,132,571,256,1119,256,1119,4.37
1999,31,951,Kevin Thompson,Outfield,Yankees,Grayson County Junior College,20,09/18/79,Right,Right,College,Yes,Rookie,Yes,20,85,Yes,104,452,Yes,62,263,Yes,80,344,Yes,236,1042,Yes,149,662,Yes,7,651,2848,124,537,186,800,266,1144,502,2186,651,2848,4.37
2005,14,422,Michael Griffin,Second Base,Reds,"Baylor U, TX",22,10/01/83,Right,Right,College,No,Rookie,Yes,13,47, , , ,Yes,131,586,Yes,90,418,Yes,47,178,Yes,1,3,Active,3,282,1232,13,47,144,633,234,1051,281,1229,282,1232,4.37
1998,21,614,Nick Punto,Shortstop,Phillies,"Saddleback HS (Mission Viejo,CA)",21,11/08/77,Switch,Right,High School,No,Short-Season, , , ,Yes,72,321, , , ,Yes,106,467,Yes,121,525,Yes,123,531,Yes,4,422,1844,72,321,72,321,178,788,299,1313,422,1844,4.37
1994,1,12,Nomar Garciaparr,Shortstop,Red Sox,Georgia Tech University,21,07/23/73,Right,Right,College,Yes,High-A,Yes,5,15, , , , , , ,Yes,28,115,Yes,125,563,Yes,43,186,Yes,3,201,879,5,15,5,15,33,130,158,693,201,879,4.37
2005,32,969,Renny Osuna,Shortstop,Rangers,"New Mexico JC, NM",20,04/24/85,Right,Right,College,No,Rookie,Yes,21,83,Yes,62,280, , , , , , , , , , , , ,Active,2,83,363,83,363,83,363,83,363,83,363,83,363,4.37
2001,35,1048,Stephen Hunt,Outfield,Brewers,Chandler-Gilbert Community College,20,09/04/81,Left,Right,College,No,Rookie,Yes,51,223, , , , , , , , , , , , , , , ,No,1,51,223,51,223,51,223,51,223,51,223,51,223,4.37
1997,11,347,Tom Sergio,Second Base,Rangers,North Carolina State University,22,06/27/75,Left,Right,College,No,Rookie,Yes,58,264, , , , , , ,Yes,112,499,Yes,299,1303,Yes,19,67,No,5,488,2133,58,264,58,264,170,763,469,2066,488,2133,4.37
2004,5,136,Angel Salome,Catcher,Brewers,George Washington HS (NY),18,06/08/86,Right,Right,High School,No,Rookie,Yes,57,260, , , ,Yes,134,593,Yes,68,276, , , , , , ,Active,4,259,1129,57,260,191,853,259,1129,259,1129,259,1129,4.36
2004,12,355,Brad Hayes,Third Base,Royals,Arkansas St U (AR),22,03/26/82,Right,Right,College,No,Rookie,Yes,53,231, , , , , , , , , , , , , , , ,No,1,53,231,53,231,53,231,53,231,53,231,53,231,4.36
1992,11,299,Chad Fonville,Shortstop,Giants,Louisburg College,21,03/05/71,Switch,Right,College,No,Short-Season, , , ,Yes,63,291,Yes,120,487,Yes,68,317, , , , , , ,Yes,3,251,1095,63,291,183,778,251,1095,251,1095,251,1095,4.36
2003,1,5,Christopher Luba,Outfield,Royals,Kennedy-Kenrick Catholic (PA),18,03/24/85,Left,Left,High School,No,Rookie,Yes,53,239, , , ,Yes,127,526,Yes,126,581,Yes,201,887,Yes,49,190,Active,5,556,2423,53,239,180,765,306,1346,507,2233,556,2423,4.36
2003,1,19,Conor Jackson,Third Base,Diamondba,U California (CA),21,05/07/82,Right,Right,College,Yes,Short-Season, , , ,Yes,68,293, , , ,Yes,67,303,Yes,60,250,Yes,93,409,Yes,3,288,1255,68,293,68,293,135,596,195,846,288,1255,4.36
2003,1,1,Delmon Young,Outfield,Devil Ray,Adolfo Camarillo HS (CA),17,09/14/85,Right,Right,High School,No,Low-A, , , , , , ,Yes,131,566, , , ,Yes,84,370,Yes,138,604,Yes,3,353,1540,0,0,131,566,131,566,215,936,353,1540,4.36
2005,9,273,Francisco Figuer,Second Base,Orioles,"U Miami, FL",22,02/19/83,Right,Right,College,No,Low-A, , , , , , ,Yes,40,181,Yes,90,395,Yes,95,406, , , ,Active,3,225,982,0,0,40,181,130,576,225,982,225,982,4.36
2003,17,496,Ian Kinsler,Shortstop,Rangers,U Missouri (MO),21,06/22/82,Right,Right,College,Yes,Short-Season, , , ,Yes,51,208,Yes,60,253, , , ,Yes,71,309,Yes,141,638,Yes,4,323,1408,51,208,111,461,111,461,182,770,323,1408,4.36
2003,21,612,Irving Falu,Second Base,Royals,Indian Hills CC (IA),20,06/06/83,Switch,Right,College,Yes,Rookie,Yes,90,412, , , ,Yes,119,525,Yes,126,585,Yes,137,543,Yes,3,6,Active,5,475,2071,90,412,209,937,335,1522,472,2065,475,2071,4.36
2005,29,879,Matthew Hawke,First Base,Rangers,"U Louisiana Lafayette, LA",22,08/22/83,Left,Left,College,No,Rookie,Yes,19,91,Yes,26,109, , , ,Yes,36,153, , , , , , ,No,2,81,353,45,200,45,200,81,353,81,353,81,353,4.36
2006,2,75,Matthew McBride,Catcher,Indians,"Lehigh U, PA",21,05/23/85,Right,Right,College,No,Short-Season, , , ,Yes,52,211,Yes,105,474, , , ,Yes,2,8, , , ,Active,2,159,693,52,211,157,685,157,685,159,693,159,693,4.36
1995,31,855,Miguel Insunza,Shortstop,Cardinals,Lewis-Clark State College,23,07/16/72,Right,Right,College,No,Short-Season, , , ,Yes,55,240, , , , , , , , , , , , ,No,1,55,240,55,240,55,240,55,240,55,240,55,240,4.36
1994,1,8,Todd Walker,Second Base,Twins,Louisiana State University,21,05/25/73,Left,Right,College,Yes,High-A, , , , , , , , , ,Yes,46,203,Yes,137,576,Yes,135,608,Yes,3,318,1387,0,0,0,0,46,203,183,779,318,1387,4.36
1996,5,143,Warren Morris,Second Base,Rangers,Louisiana State University,22,01/11/74,Left,Right,College,No,High-A, , , , , , , , , ,Yes,128,556,Yes,139,608,Yes,8,35,Yes,2,275,1199,0,0,0,0,128,556,267,1164,275,1199,4.36
1992,1,7,Calvin Murray,Outfield,Giants,University of Texas,21,07/30/71,Right,Right,College,Yes,High-A, , , , , , , , , ,Yes,85,391,Yes,536,2309,Yes,264,1154,Yes,7,885,3854,0,0,0,0,85,391,621,2700,885,3854,4.35
2004,4,130,Clay Timpner,Outfield,Giants,U Central Florida (FL),21,05/13/83,Left,Left,College,Yes,Short-Season, , , ,Yes,68,314, , , ,Yes,132,617,Yes,66,282,Yes,171,688,Active,4,437,1901,68,314,68,314,200,931,266,1213,437,1901,4.35
